t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=d9fe41c723f4 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=aec9793fd194 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=d1605aab7b23 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:52+0100 lvl=info msg="join connections" obj=join id=8440edf38c28 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:54+0100 lvl=info msg="join connections" obj=join id=517c337a09b6 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:55+0100 lvl=info msg="join connections" obj=join id=3deee162d548 l=[::1]:3000 r=102.90.79.239:16364
t=2026-01-10T13:27:55+0100 lvl=info msg="join connections" obj=join id=d22b58038b65 l=[::1]:3000 r=102.90.79.239:20319
t=2026-01-10T13:53:35+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=472cf2a32a59 clientid=04872acab69f6381be5a737dca873b47
t=2026-01-10T13:53:35+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=7cf105f755aa err="session closed"
t=2026-01-10T13:53:36+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:53:36+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:53:37+0100 lvl=info msg="join connections" obj=join id=944645075e38 l=[::1]:3000 r=105.112.10.109:25748
t=2026-01-10T13:58:25+0100 lvl=info msg="join connections" obj=join id=668a6ab1f197 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:25+0100 lvl=info msg="join connections" obj=join id=41da5baba966 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:26+0100 lvl=info msg="join connections" obj=join id=af8e66381b9f l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:26+0100 lvl=info msg="join connections" obj=join id=9299053c867d l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:26+0100 lvl=info msg="join connections" obj=join id=306baa23dc04 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:27+0100 lvl=info msg="join connections" obj=join id=58213de6664e l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:28+0100 lvl=info msg="join connections" obj=join id=618510261386 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:28+0100 lvl=info msg="join connections" obj=join id=6f34c2782474 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:28+0100 lvl=info msg="join connections" obj=join id=1e03d32917a3 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:29+0100 lvl=info msg="join connections" obj=join id=6d13df72fb60 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:29+0100 lvl=info msg="join connections" obj=join id=ba2763104e69 l=[::1]:3000 r=105.112.10.109:45831
t=2026-01-10T13:58:29+0100 lvl=info msg="join connections" obj=join id=de4ddf4ba77c l=[::1]:3000 r=105.112.10.109:45831
